id,full_name,parent_id,rank,rank_name,taxref,niamoto
9669,Pittosporum morierei,2291,SPECIES,morierei,5054,
9670,Pittosporum pancheri,2291,SPECIES,pancheri,5060,
9671,Pittosporum paniculatum,2291,SPECIES,paniculatum,5061,
9672,Pittosporum poueboense,2291,SPECIES,poueboense,5063,
9673,Pittosporum scythophyllum,2291,SPECIES,scythophyllum,5066,
9674,Pittosporum sylvaticum,2291,SPECIES,sylvaticum,5069,
9675,Pittosporum verrucosum,2291,SPECIES,verrucosum,5071,
9676,Arthroclianthus grandifolius,2422,SPECIES,grandifolius,1919,
9677,Dacrydium balansae,2702,SPECIES,balansae,2853,
9679,Podocarpus colliculatus,2716,SPECIES,colliculatus,12742,
9680,Podocarpus longifoliolatus,2716,SPECIES,longifoliolatus,5109,
9681,Podocarpus polyspermus,2716,SPECIES,polyspermus,5113,
9682,Retrophyllum minus,2719,SPECIES,minus,5398,
9684,Araucaria biramulata,2770,SPECIES,biramulata,1855,
9685,Araucaria columnaris,2770,SPECIES,columnaris,1856,
9687,Araucaria humboldtensis,2770,SPECIES,humboldtensis,1859,
9688,Araucaria laubenfelsii,2770,SPECIES,laubenfelsii,1861,
9689,Araucaria luxurians,2770,SPECIES,luxurians,1862,
9690,Araucaria rulei,2770,SPECIES,rulei,1866,
9691,Araucaria schmidii,2770,SPECIES,schmidii,1867,
9692,Araucaria scopulorum,2770,SPECIES,scopulorum,1868,
9694,Tapeinosperma amieuense,2772,SPECIES,amieuense,15701,
9695,Tapeinosperma boulindaense,2772,SPECIES,boulindaense,15354,
9696,Tapeinosperma deroinii,2772,SPECIES,deroinii,15616,
9697,Tapeinosperma koghiense,2772,SPECIES,koghiense,5959,
9698,Tapeinosperma laeve,2772,SPECIES,laeve,5960,
9699,Stenocarpus milnei,2777,SPECIES,milnei,5782,
9700,Atractocarpus vaginatus,3031,SPECIES,vaginatus,2005,
9701,Acropogon bosseri,3035,SPECIES,bosseri,1638,
9702,Acropogon bullatus,3035,SPECIES,bullatus,1639,
9703,Acropogon fatsioides,3035,SPECIES,fatsioides,1642,
9704,Acropogon jaffrei,3035,SPECIES,jaffrei,1644,
9705,Acropogon margaretae,3035,SPECIES,margaretae,12740,
9706,Acropogon moratianus,3035,SPECIES,moratianus,15694,
9707,Acropogon pilosus,3035,SPECIES,pilosus,12893,
9708,Acropogon veillonii,3035,SPECIES,veillonii,1653,
9709,Gardenia urvillei,3050,SPECIES,urvillei,3453,
9710,Ixora lecardii,3112,SPECIES,lecardii,3850,
9711,Ixora margaretae,3112,SPECIES,margaretae,13351,
9712,Morinda citrifolia,3117,SPECIES,citrifolia,4346,
9713,Tarenna lifouana,3128,SPECIES,lifouana,5988,
9714,Melicope fulva,3129,SPECIES,fulva,4222,
9715,Melicope glaberrima,3129,SPECIES,glaberrima,4223,
9716,Melicope pedicellata,3129,SPECIES,pedicellata,4227,
9717,Myrtopsis novaecaledoniae,3205,SPECIES,novaecaledoniae,4409,
9718,Picrella trifoliata,3215,SPECIES,trifoliata,12532,
9719,Sarcomelicope megistophylla,3216,SPECIES,megistophylla,5499,
9720,Sarcomelicope pembaiensis,3216,SPECIES,pembaiensis,5500,
